symbol,r2,sum,sq_sum,res,cnt
300669.SZ,0.0650605,-161.102,2319.8,2162.6,3872
300262.SZ,0.107257,792.4,8006.31,7064.2,6723
002314.SZ,0.270717,3025.72,61974.5,44854.7,19507
300230.SZ,0.255915,-1659.76,8461.16,6048.92,8302
002630.SZ,0.190697,843.782,49320.8,39874,13887
002922.SZ,0.053794,-81.2388,3249.85,3073.37,3786
002577.SZ,0.2255,-90.6451,7346.5,5689.27,10633
002313.SZ,0.164763,-159.727,1323.16,1101.47,5783
300572.SZ,0.271038,-233.542,19756.5,14398.2,11185
002245.SZ,0.159107,125.104,5942.84,4995.73,8439
300546.SZ,0.0533368,-148.928,4352.56,4116.29,5096
300035.SZ,0.230343,245.394,11366.9,8744.56,11403
300025.SZ,0.224988,-438.626,7137.56,5512.51,7773
002083.SZ,0.194115,-345.246,3594.94,2887.47,9967
002350.SZ,0.235296,-89.1163,7513.98,5745.18,7666
002747.SZ,0.312404,2238.59,46288.4,31592.8,14668
300802.SZ,-0.0918584,-200.356,1174.57,1273.8,5060
002284.SZ,0.045779,421.31,23411.1,22328,14920
000533.SZ,0.337764,410.612,12690,8388.65,7395
002272.SZ,0.24918,-903.323,9104.68,6747.26,6906
002196.SZ,0.151432,-227.875,2718.49,2297.09,4526
002398.SZ,0.359322,-100.021,46714.2,29928.3,16401
002158.SZ,0.061452,146.155,5404.16,5070.2,10739
002066.SZ,0.235974,69.5739,6702.21,5120.02,5749
002161.SZ,0.106796,137.541,4394.71,3923.64,9741
002325.SZ,0.264731,869.203,27323.2,20045.6,12538
300640.SZ,0.111287,-4.73541,3691.38,3280.57,4054
000576.SZ,0.134106,-1441.09,34200.6,29528.5,21006
002751.SZ,0.107548,236.314,4149.01,3696.77,8277
300818.SZ,0.0659421,-36.108,2484.86,2320.76,4879
002534.SZ,0.131798,-242.95,10882.4,9438.92,5594
002067.SZ,0.165526,-424.04,4475.09,3712.33,6816
002090.SZ,0.0492996,-300.015,3898.03,3690.93,5732
300208.SZ,-0.0335758,-140.086,5582.13,5766.55,6749
002051.SZ,0.227229,-151,2775.22,2141.69,6034
002981.SZ,0.0248445,-245.317,2413.47,2344.68,6646
000928.SZ,0.221824,97.9981,10954.9,8524.08,10073
002671.SZ,0.0906545,302.175,4209.56,3812.32,5312
300112.SZ,0.241742,-67.2393,3483.52,2640.78,5465
300335.SZ,0.205015,-6.32137,3451.49,2743.88,4199
000925.SZ,0.169002,-418.173,5383.19,4451.39,6598
000637.SZ,-0.0280424,96.4026,2365.97,2430.33,4791
002929.SZ,0.149306,-329.503,2083.38,1760.07,7546
000929.SZ,-0.0742413,-148.85,5554.33,5961.47,4560
000920.SZ,0.151739,-294.175,10139.7,8589.56,6367
000551.SZ,0.134129,109.375,4309.51,3730.15,7822
000899.SZ,-0.06168,207.958,2730.85,2882.26,2696
300052.SZ,0.0416098,240.6,3960.68,3790.61,10527
002667.SZ,0.216049,103.801,19834,15547.4,5697
002903.SZ,0.192058,236.284,3320.96,2675.59,5975
002339.SZ,0.105916,812.683,17889,15950.7,13542
300673.SZ,0.270409,-558.233,31796,23179,11964
002543.SZ,0.126243,342.316,6982.37,6090.83,10173
000809.SZ,-0.0483662,-342.953,5255.96,5469.91,3063
300692.SZ,0.233704,668.662,8603.16,6552.03,8452
000586.SZ,0.00125254,-139.83,5382.4,5372.92,7138
300789.SZ,-0.0137056,-94.8769,1615.36,1634.73,3288
000726.SZ,-0.0595764,16.6255,888.873,941.766,4661
300586.SZ,-0.0199026,295.389,4157.44,4227.86,7220
000722.SZ,0.237595,-20.7785,4855.98,3702.16,5851
300396.SZ,0.114883,-96.6262,2292.04,2027.59,7291
002636.SZ,0.0249015,131.408,6112.79,5958.61,8619
300656.SZ,0.177873,-450.538,9923.93,8131.86,6209
002364.SZ,0.211611,-802.315,9349.41,7335.29,14222
300642.SZ,0.282869,-213.028,5758.57,4125.24,7386
002779.SZ,0.164585,-863.612,16309.9,13560.3,9544
300481.SZ,0.254219,308.687,19946.8,14870,11929
002977.SZ,0.162775,-93.3135,25962,21735.3,10188
000631.SZ,0.0332356,-318.906,3710.46,3555.96,3153
300426.SZ,0.190149,22.369,19281.3,15614.9,10372
000606.SZ,0.287489,408.796,13136.7,9348.29,10155
300406.SZ,0.304161,784.079,20360.2,14136.3,13775
300417.SZ,0.068905,-59.8323,2550.44,2373.95,4422
300192.SZ,0.275249,931.788,25290,18280,12844
000599.SZ,0.17528,-207.249,4948.83,4076.64,7436
002474.SZ,0.133781,-55.3313,3240.18,2806.41,8971
000590.SZ,0.227253,-489.512,3538.76,2696.88,4913
002253.SZ,0.246293,51.7082,3417.51,2575.5,6875
000544.SZ,0.00966206,385.657,6022.19,5946.81,8564
300154.SZ,0.245592,-52.5815,5994.33,4521.74,4913
300621.SZ,0.0930382,1167.97,18201.9,15893.5,2012
002085.SZ,0.230539,192.34,9828.9,7560.77,12995
000517.SZ,0.28898,-83.4232,7763.45,5519.12,5843
002029.SZ,0.120983,-102.873,1332.94,1169.14,3672
000502.SZ,0.0973804,-252.295,14460.3,13045.8,9008
000532.SZ,0.148598,-111.117,5865.96,4993.15,9226
002037.SZ,0.164749,785.779,8856.02,7322.16,6891
000155.SZ,0.355354,448.565,14622.4,9413.66,10303
300354.SZ,0.21958,1119.9,16032.1,12417.2,10353
300730.SZ,-0.0593364,-43.0873,1431.97,1516.59,5737
000023.SZ,0.158389,41.7996,11992,10092.3,5613
000710.SZ,0.190045,-409.662,31136.5,25210.5,15661
000718.SZ,0.305147,440.26,11540.6,8004.62,9343
000931.SZ,0.144188,-279.729,3538.08,3020.4,8897
002730.SZ,0.163113,768.013,9270.08,7698.73,8328
300581.SZ,0.0862438,434.837,23503.6,21458.3,9466
300513.SZ,0.0809807,-62.4967,1294.71,1189.29,6180
002578.SZ,-0.0269471,63.2227,4577.94,4700.63,6172
300359.SZ,0.221109,-101.999,6895.8,5370.11,8389
002374.SZ,0.00798585,-44.4687,5638.39,5592.84,3768
000607.SZ,0.249307,-300.589,5463.05,4089.37,5797
300616.SZ,0.25005,143.85,9337.12,7000.64,8969
000573.SZ,0.177223,997.573,23154.2,18947.4,7927
300041.SZ,0.303557,-756.851,11990.2,8321.78,13882
002265.SZ,0.131272,-2265.22,14979.3,12616.5,11246
002282.SZ,0.152546,-455.816,5466.69,4602.01,5725
000881.SZ,0.203861,468.919,12150.9,9659.16,11973
000150.SZ,-0.131156,-15.0778,5122.18,5793.94,7103
300175.SZ,0.141523,-218.963,7571.73,6495.16,8247
002787.SZ,-0.0474691,-425.875,7804.77,8146.4,6583
300592.SZ,0.182468,1187.69,57902.5,47249.1,13098
002647.SZ,0.177447,-242.072,4365.02,3584.7,8374
002918.SZ,-0.000568163,9562.53,1.63368e+07,1.6341e+07,17888
300623.SZ,0.116742,254.446,5154.79,4548.88,13820
000635.SZ,0.207932,-124.692,3759.55,2975.3,4891
300597.SZ,-0.100312,-166.503,2887.38,3171.79,5836
000797.SZ,0.425063,-702.491,9668.04,5510.18,5871
000996.SZ,0.122255,-11.9692,19665.7,17261.4,13436
002763.SZ,0.0110384,121.189,1791.46,1767.63,3587
000821.SZ,-0.000629749,542.43,18662.8,18648.6,11362
002246.SZ,0.0561672,-747.288,10771.3,10117,10687
300430.SZ,0.178592,-182.537,7597.76,6236.48,6244
000811.SZ,0.264824,-162.302,10896,8008.23,8712
002703.SZ,0.293289,-875.081,19547.9,13756.6,9318
000759.SZ,0.165431,-154.872,3986.19,3323.58,6318
000008.SZ,0.0868619,-299.04,8591.21,7837.11,10408
002327.SZ,0.129293,-291.635,6769.23,5883.97,7368
002486.SZ,0.0178576,-121.385,3274.37,3214.16,8305
002546.SZ,0.189657,-286.472,6313.05,5106.68,7347
300306.SZ,-0.0666474,-194.047,1842.27,1955.8,4342
300380.SZ,0.203091,-73.7809,4047.02,3224.38,5950
300321.SZ,0.234368,-74.8711,1788.74,1368.35,3670
300355.SZ,0.060976,349.795,15084.8,14153.1,9667
300776.SZ,0.0370706,-2347.44,104800,100597,16697
002430.SZ,0.26682,2036.48,19283.4,13953.7,16480
300063.SZ,0.21011,-78.073,6921.42,5466.67,9914
